,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air,tahun
0,2018-01-02,jakarta barat,"jakarta barat, kamal muara",1,0,30,2018
1,2018-01-02,jakarta barat,"jakarta barat, kamal muara",4,0,30,2018
2,2018-01-03,jakarta utara,"jakarta utara, kamal",1,0,25,2018
3,2018-01-03,jakarta utara,"jakarta utara, kamal",4,0,25,2018
4,2018-01-04,jakarta utara,"jakarta utara, kamal",1,0,25,2018
5,2018-01-04,jakarta utara,"jakarta utara, kamal",4,0,25,2018
6,2018-01-05,jakarta utara,"jakarta utara, kamal",1,0,25,2018
7,2018-01-05,jakarta utara,"jakarta utara, kamal",4,0,25,2018
8,2018-01-18,jakarta utara,"jakarta utara, kamal",1,0,25,2018
9,2018-01-18,jakarta utara,"jakarta utara, kamal",4,0,25,2018
10,2018-01-31,jakarta utara,"jakarta utara, kamal",1,0,25,2018
11,2018-01-31,jakarta utara,"jakarta utara, kamal",4,0,25,2018
12,2018-01-03,jakarta utara,"jakarta utara, jelambar baru",1,0,15,2018
13,2018-01-03,jakarta utara,"jakarta utara, jelambar",7,0,20,2018
14,2018-01-18,jakarta utara,"jakarta utara, kembangan utara",3,0,20,2018
15,2018-01-18,jakarta utara,"jakarta utara, kembangan utara",4,0,20,2018
16,2018-01-18,jakarta utara,"jakarta utara, kembangan utara",5,0,20,2018
17,2018-01-18,jakarta utara,"jakarta utara, kembangan utara",6,0,20,2018
18,2018-01-18,jakarta utara,"jakarta utara, kapuk",2,0,30,2018
19,2018-01-18,jakarta utara,"jakarta utara, kapuk",5,0,30,2018
20,2018-01-18,jakarta utara,"jakarta utara, kapuk",6,0,30,2018
21,2018-01-18,jakarta utara,"jakarta utara, kapuk",7,0,30,2018
22,2018-01-18,jakarta utara,"jakarta utara, kapuk",9,0,30,2018
23,2018-01-18,jakarta utara,"jakarta utara, kapuk",12,0,30,2018
24,2018-01-18,jakarta utara,"jakarta utara, kapuk",13,0,30,2018
25,2018-01-18,jakarta utara,"jakarta utara, kapuk",15,0,30,2018
26,2018-01-18,jakarta utara,"jakarta utara, kapuk",16,0,30,2018
27,2018-01-18,jakarta utara,"jakarta utara, rawa buaya",1,0,20,2018
28,2018-01-18,jakarta utara,"jakarta utara, rawa buaya",2,0,20,2018
29,2018-01-18,jakarta utara,"jakarta utara, cengkareng timur",3,0,40,2018
30,2018-01-18,jakarta utara,"jakarta utara, cengkareng timur",4,0,40,2018
31,2018-01-18,jakarta utara,"jakarta utara, cengkareng timur",12,0,40,2018
32,2018-01-18,jakarta utara,"jakarta utara, cengkareng timur",13,0,40,2018
33,2018-02-15,jakarta pusat,"jakarta pusat, cempaka putih timur",5,0,35,2018
34,2018-02-15,jakarta pusat,"jakarta pusat, cempaka putih timur",7,0,35,2018
35,2018-02-15,jakarta pusat,"jakarta pusat, cempaka putih timur",8,0,35,2018
36,2018-02-16,jakarta pusat,"jakarta pusat, cempaka putih timur",5,0,35,2018
37,2018-02-16,jakarta pusat,"jakarta pusat, cempaka putih timur",7,0,35,2018
38,2018-02-16,jakarta pusat,"jakarta pusat, cempaka putih timur",8,0,35,2018
39,2018-02-15,jakarta pusat,"jakarta pusat, serdang",1,0,50,2018
40,2018-02-15,jakarta pusat,"jakarta pusat, serdang",7,0,50,2018
41,2018-02-01,jakarta utara,"jakarta utara, kamal muara",1,0,10,2018
42,2018-02-01,jakarta utara,"jakarta utara, kamal muara",2,0,10,2018
43,2018-02-01,jakarta utara,"jakarta utara, kamal muara",4,0,10,2018
44,2018-02-15,jakarta utara,"jakarta utara, kamal muara",1,0,10,2018
45,2018-02-15,jakarta utara,"jakarta utara, kamal muara",2,0,10,2018
46,2018-02-15,jakarta utara,"jakarta utara, kamal muara",4,0,10,2018
47,2018-02-15,jakarta utara,"jakarta utara, penjaringan",12,0,35,2018
48,2018-02-15,jakarta utara,"jakarta utara, penjaringan",17,0,35,2018
49,2018-02-15,jakarta utara,"jakarta utara, kapuk muara",1,0,15,2018
50,2018-02-15,jakarta utara,"jakarta utara, sukapura",1,30,50,2018
51,2018-02-15,jakarta utara,"jakarta utara, sukapura",10,30,50,2018
52,2018-02-16,jakarta utara,"jakarta utara, sukapura",1,30,50,2018
53,2018-02-16,jakarta utara,"jakarta utara, sukapura",10,30,50,2018
54,2018-02-15,jakarta utara,"jakarta utara, pegangsaan dua",3,100,70,2018
55,2018-02-16,jakarta utara,"jakarta utara, pegangsaan dua",3,100,70,2018
56,2018-02-15,jakarta utara,"jakarta utara, tugu selatan",4,140,40,2018
57,2018-02-16,jakarta utara,"jakarta utara, tugu selatan",4,140,40,2018
58,2018-02-05,jakarta barat,"jakarta barat, tegal alur",1,0,30,2018
59,2018-02-05,jakarta barat,"jakarta barat, tegal alur",2,0,30,2018
60,2018-02-05,jakarta barat,"jakarta barat, tegal alur",3,0,30,2018
61,2018-02-05,jakarta barat,"jakarta barat, tegal alur",4,0,30,2018
62,2018-02-05,jakarta barat,"jakarta barat, tegal alur",5,0,30,2018
63,2018-02-05,jakarta barat,"jakarta barat, tegal alur",6,0,30,2018
64,2018-02-05,jakarta barat,"jakarta barat, tegal alur",7,0,30,2018
65,2018-02-05,jakarta barat,"jakarta barat, tegal alur",8,0,30,2018
