,Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air
0,0,2 januari 2018,jakarta barat,"jakarta barat, kamal muara",1,0,20 - 30 
1,0,2 januari 2018,jakarta barat,"jakarta barat, kamal muara",4,0,20 - 30 
2,1,3 januari 2018,jakarta utara,"jakarta utara, kamal",1,0,10 - 25 
3,1,3 januari 2018,jakarta utara,"jakarta utara, kamal",4,0,10 - 25 
4,2,4 januari 2018,jakarta utara,"jakarta utara, kamal",1,0,10 - 25 
5,2,4 januari 2018,jakarta utara,"jakarta utara, kamal",4,0,10 - 25 
6,3,5 januari 2018,jakarta utara,"jakarta utara, kamal",1,0,10 - 25 
7,3,5 januari 2018,jakarta utara,"jakarta utara, kamal",4,0,10 - 25 
8,4,18 januari 2018,jakarta utara,"jakarta utara, kamal",1,0,10 - 25 
9,4,18 januari 2018,jakarta utara,"jakarta utara, kamal",4,0,10 - 25 
10,5,31 januari 2018,jakarta utara,"jakarta utara, kamal",1,0,10 - 25 
11,5,31 januari 2018,jakarta utara,"jakarta utara, kamal",4,0,10 - 25 
12,6,3 januari 2018,jakarta utara,"jakarta utara, jelambar baru",1,0,15
13,7,3 januari 2018,jakarta utara,"jakarta utara, jelambar",7,0,20
14,8,18 januari 2018,jakarta utara,"jakarta utara, kembangan utara",3,0,5 - 20 
15,8,18 januari 2018,jakarta utara,"jakarta utara, kembangan utara",4,0,5 - 20 
16,8,18 januari 2018,jakarta utara,"jakarta utara, kembangan utara",5,0,5 - 20 
17,8,18 januari 2018,jakarta utara,"jakarta utara, kembangan utara",6,0,5 - 20 
18,9,18 januari 2018,jakarta utara,"jakarta utara, kapuk",2,0,5 - 30 
19,9,18 januari 2018,jakarta utara,"jakarta utara, kapuk",5,0,5 - 30 
20,9,18 januari 2018,jakarta utara,"jakarta utara, kapuk",6,0,5 - 30 
21,9,18 januari 2018,jakarta utara,"jakarta utara, kapuk",7,0,5 - 30 
22,9,18 januari 2018,jakarta utara,"jakarta utara, kapuk",9,0,5 - 30 
23,9,18 januari 2018,jakarta utara,"jakarta utara, kapuk",12,0,5 - 30 
24,9,18 januari 2018,jakarta utara,"jakarta utara, kapuk",13,0,5 - 30 
25,9,18 januari 2018,jakarta utara,"jakarta utara, kapuk",15,0,5 - 30 
26,9,18 januari 2018,jakarta utara,"jakarta utara, kapuk",16,0,5 - 30 
