Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air
0,2 januari 2018,jakarta barat,"jakarta barat, kamal muara",01,0,20 - 30 cm
0,2 januari 2018,jakarta barat,"jakarta barat, kamal muara",04,0,20 - 30 cm
1,3 januari 2018,jakarta utara,"jakarta utara, kamal",1,0,10 - 25 cm
1,3 januari 2018,jakarta utara,"jakarta utara, kamal",4,0,10 - 25 cm
2,4 januari 2018,jakarta utara,"jakarta utara, kamal",1,0,10 - 25 cm
2,4 januari 2018,jakarta utara,"jakarta utara, kamal",4,0,10 - 25 cm
3,5 januari 2018,jakarta utara,"jakarta utara, kamal",1,0,10 - 25 cm
3,5 januari 2018,jakarta utara,"jakarta utara, kamal",4,0,10 - 25 cm
4,18 januari 2018,jakarta utara,"jakarta utara, kamal",1,0,10 - 25 cm
4,18 januari 2018,jakarta utara,"jakarta utara, kamal",4,0,10 - 25 cm
5,31 januari 2018,jakarta utara,"jakarta utara, kamal",1,0,10 - 25 cm
5,31 januari 2018,jakarta utara,"jakarta utara, kamal",4,0,10 - 25 cm
6,3 januari 2018,jakarta utara,"jakarta utara, jelambar baru",1,0,15 cm
7,3 januari 2018,jakarta utara,"jakarta utara, jelambar",7,0,20 cm
8,18 januari 2018,jakarta utara,"jakarta utara, kembangan utara",3,0,5 - 20 cm
8,18 januari 2018,jakarta utara,"jakarta utara, kembangan utara",4,0,5 - 20 cm
8,18 januari 2018,jakarta utara,"jakarta utara, kembangan utara",5,0,5 - 20 cm
8,18 januari 2018,jakarta utara,"jakarta utara, kembangan utara",6,0,5 - 20 cm
9,18 januari 2018,jakarta utara,"jakarta utara, kapuk",02,0,5 - 30 cm
9,18 januari 2018,jakarta utara,"jakarta utara, kapuk",05,0,5 - 30 cm
9,18 januari 2018,jakarta utara,"jakarta utara, kapuk",06,0,5 - 30 cm
9,18 januari 2018,jakarta utara,"jakarta utara, kapuk",07,0,5 - 30 cm
9,18 januari 2018,jakarta utara,"jakarta utara, kapuk",09,0,5 - 30 cm
9,18 januari 2018,jakarta utara,"jakarta utara, kapuk",12,0,5 - 30 cm
9,18 januari 2018,jakarta utara,"jakarta utara, kapuk",13,0,5 - 30 cm
9,18 januari 2018,jakarta utara,"jakarta utara, kapuk",15,0,5 - 30 cm
9,18 januari 2018,jakarta utara,"jakarta utara, kapuk",16,0,5 - 30 cm
10,18 januari 2018,jakarta utara,"jakarta utara, rawa buaya",01,0,15 - 20 cm 
10,18 januari 2018,jakarta utara,"jakarta utara, rawa buaya",02,0,15 - 20 cm 
11,18 januari 2018,jakarta utara,"jakarta utara, cengkareng timur",03,0,10 - 40 cm
11,18 januari 2018,jakarta utara,"jakarta utara, cengkareng timur",04,0,10 - 40 cm
11,18 januari 2018,jakarta utara,"jakarta utara, cengkareng timur",12,0,10 - 40 cm
11,18 januari 2018,jakarta utara,"jakarta utara, cengkareng timur",13,0,10 - 40 cm
12,15 februari 2018,jakarta pusat,"jakarta pusat, cempaka putih timur",05,0,10 - 35 cm
12,15 februari 2018,jakarta pusat,"jakarta pusat, cempaka putih timur",07,0,10 - 35 cm
12,15 februari 2018,jakarta pusat,"jakarta pusat, cempaka putih timur",08,0,10 - 35 cm
13,16 februari 2018,jakarta pusat,"jakarta pusat, cempaka putih timur",05,0,10 - 35 cm
13,16 februari 2018,jakarta pusat,"jakarta pusat, cempaka putih timur",07,0,10 - 35 cm
13,16 februari 2018,jakarta pusat,"jakarta pusat, cempaka putih timur",08,0,10 - 35 cm
14,15 februari 2018,jakarta pusat,"jakarta pusat, serdang",01,0,10 - 50 cm
14,15 februari 2018,jakarta pusat,"jakarta pusat, serdang",07,0,10 - 50 cm
15,1 februari 2018,jakarta utara,"jakarta utara, kamal muara",01,0,5 - 10 cm
15,1 februari 2018,jakarta utara,"jakarta utara, kamal muara",02,0,5 - 10 cm
15,1 februari 2018,jakarta utara,"jakarta utara, kamal muara",04,0,5 - 10 cm
16,15 februari 2018,jakarta utara,"jakarta utara, kamal muara",01,0,5 - 10 cm
16,15 februari 2018,jakarta utara,"jakarta utara, kamal muara",02,0,5 - 10 cm
16,15 februari 2018,jakarta utara,"jakarta utara, kamal muara",04,0,5 - 10 cm
17,15 februari 2018,jakarta utara,"jakarta utara, penjaringan",12,0,10 - 35 cm
17,15 februari 2018,jakarta utara,"jakarta utara, penjaringan",17,0,10 - 35 cm
18,15 februari 2018,jakarta utara,"jakarta utara, kapuk muara",1,0,05 - 15 cm
19,15 februari 2018,jakarta utara,"jakarta utara, sukapura",01,30,10 - 50 cm
19,15 februari 2018,jakarta utara,"jakarta utara, sukapura",10,30,10 - 50 cm
20,16 februari 2018,jakarta utara,"jakarta utara, sukapura",01,30,10 - 50 cm
20,16 februari 2018,jakarta utara,"jakarta utara, sukapura",10,30,10 - 50 cm
21,15 februari 2018,jakarta utara,"jakarta utara, pegangsaan dua",3,100,60 - 70 cm
