,Unnamed: 0,tanggal_kejadian,kota_administrasi,lokasi,rw,jumlah_terdampak_jiwa,ketinggian_air,kluster
0,0,2018-01-02,jakarta barat,"jakarta barat, kamal muara",1,0,30,0
1,0,2018-01-02,jakarta barat,"jakarta barat, kamal muara",4,0,30,0
2,1,2018-01-03,jakarta utara,"jakarta utara, kamal",1,0,25,0
3,1,2018-01-03,jakarta utara,"jakarta utara, kamal",4,0,25,0
4,2,2018-01-04,jakarta utara,"jakarta utara, kamal",1,0,25,0
5,2,2018-01-04,jakarta utara,"jakarta utara, kamal",4,0,25,0
6,3,2018-01-05,jakarta utara,"jakarta utara, kamal",1,0,25,0
7,3,2018-01-05,jakarta utara,"jakarta utara, kamal",4,0,25,0
8,4,2018-01-18,jakarta utara,"jakarta utara, kamal",1,0,25,0
9,4,2018-01-18,jakarta utara,"jakarta utara, kamal",4,0,25,0
10,5,2018-01-31,jakarta utara,"jakarta utara, kamal",1,0,25,0
11,5,2018-01-31,jakarta utara,"jakarta utara, kamal",4,0,25,0
12,6,2018-01-03,jakarta utara,"jakarta utara, jelambar baru",1,0,15,0
13,7,2018-01-03,jakarta utara,"jakarta utara, jelambar",7,0,20,0
14,8,2018-01-18,jakarta utara,"jakarta utara, kembangan utara",3,0,20,0
15,8,2018-01-18,jakarta utara,"jakarta utara, kembangan utara",4,0,20,0
16,8,2018-01-18,jakarta utara,"jakarta utara, kembangan utara",5,0,20,0
17,8,2018-01-18,jakarta utara,"jakarta utara, kembangan utara",6,0,20,0
18,9,2018-01-18,jakarta utara,"jakarta utara, kapuk",2,0,30,0
19,9,2018-01-18,jakarta utara,"jakarta utara, kapuk",5,0,30,0
20,9,2018-01-18,jakarta utara,"jakarta utara, kapuk",6,0,30,0
21,9,2018-01-18,jakarta utara,"jakarta utara, kapuk",7,0,30,0
22,9,2018-01-18,jakarta utara,"jakarta utara, kapuk",9,0,30,0
23,9,2018-01-18,jakarta utara,"jakarta utara, kapuk",12,0,30,0
24,9,2018-01-18,jakarta utara,"jakarta utara, kapuk",13,0,30,0
25,9,2018-01-18,jakarta utara,"jakarta utara, kapuk",15,0,30,0
26,9,2018-01-18,jakarta utara,"jakarta utara, kapuk",16,0,30,0
27,10,2018-01-18,jakarta utara,"jakarta utara, rawa buaya",1,0,20,0
28,10,2018-01-18,jakarta utara,"jakarta utara, rawa buaya",2,0,20,0
29,11,2018-01-18,jakarta utara,"jakarta utara, cengkareng timur",3,0,40,0
30,11,2018-01-18,jakarta utara,"jakarta utara, cengkareng timur",4,0,40,0
31,11,2018-01-18,jakarta utara,"jakarta utara, cengkareng timur",12,0,40,0
