,Tanggal,Jam Pasang,Tinggi Pasang,Jam Surut,Tinggi Surut,Koefisien
0,1 Januari 2019, 8:41 ,1, 17:44 ,0.3,62  rata-rata 
1,2 Januari 2019, 8:59 ,1, 18:10 ,0.3,67  rata-rata 
2,3 Januari 2019, 9:20 ,1.1, 18:42 ,0.2,71  tinggi 
3,4 Januari 2019, 9:41 ,1.1, 19:16 ,0.2,75  tinggi 
4,5 Januari 2019, 9:59 ,1.1, 19:52 ,0.2,77  tinggi 
5,6 Januari 2019, 10:15 ,1, 20:29 ,0.2,78  tinggi 
6,7 Januari 2019, 10:28 ,1, 21:05 ,0.2,76  tinggi 
7,8 Januari 2019, 10:38 ,1, 21:40 ,0.2,73  tinggi 
8,9 Januari 2019, 10:46 ,1, 22:11 ,0.3,69  rata-rata 
9,10 Januari 2019, 10:50 ,0.9, 22:35 ,0.3,64  rata-rata 
10,11 Januari 2019, 10:45 ,0.9, 22:50 ,0.3,58  rata-rata 
11,12 Januari 2019, 10:25 ,0.9, 22:51 ,0.4,52  rata-rata 
12,13 Januari 2019, 9:42 ,0.8, 22:32 ,0.4,48  rendah 
13,14 Januari 2019, 8:51 ,0.8, 21:18 ,0.4,46  rendah 
14,15 Januari 2019, 8:15 ,0.8, 18:10 ,0.4,48  rendah 
15,16 Januari 2019, 8:03 ,0.9, 17:35 ,0.3,54  rata-rata 
16,17 Januari 2019, 8:09 ,1, 17:40 ,0.3,64  rata-rata 
17,18 Januari 2019, 8:28 ,1, 18:02 ,0.2,75  tinggi 
18,19 Januari 2019, 8:55 ,1.1, 18:32 ,0.2,87  tinggi 
19,20 Januari 2019, 9:27 ,1.1, 19:07 ,0.2,96  s. tinggi 
20,21 Januari 2019, 10:01 ,1.2, 19:43 ,0.2,102  s. tinggi 
21,22 Januari 2019, 10:36 ,1.1, 20:19 ,0.2,104  s. tinggi 
22,23 Januari 2019, 11:08 ,1.1, 20:52 ,0.2,100  s. tinggi 
23,24 Januari 2019, 11:32 ,1, 21:19 ,0.3,93  s. tinggi 
24,25 Januari 2019, 11:31 ,0.8, 21:37 ,0.4,82  tinggi 
25,26 Januari 2019, 9:19 ,0.8, 21:44 ,0.4,69  rata-rata 
26,27 Januari 2019, 7:34 ,0.8, 21:15 ,0.4,58  rata-rata 
27,28 Januari 2019, 7:28 ,0.9, 16:59 ,0.4,49  rendah 
28,29 Januari 2019, 7:45 ,0.9, 16:51 ,0.3,46  rendah 
29,30 Januari 2019, 8:10 ,1, 17:10 ,0.3,49  rendah 
30,31 Januari 2019, 8:36 ,1, 17:36 ,0.2,55  rata-rata 
31,1 Februari 2019, 9:02 ,1, 18:04 ,0.2,62  rata-rata 
32,2 Februari 2019, 9:26 ,1, 18:33 ,0.2,68  rata-rata 
33,3 Februari 2019, 9:46 ,1, 19:02 ,0.2,74  tinggi 
34,4 Februari 2019, 10:04 ,1, 19:29 ,0.3,78  tinggi 
35,5 Februari 2019, 10:17 ,1, 19:55 ,0.3,80  tinggi 
36,6 Februari 2019, 10:28 ,0.9, 20:17 ,0.3,80  tinggi 
37,7 Februari 2019, 10:34 ,0.9, 20:31 ,0.4,79  tinggi 
38,8 Februari 2019, 10:35 ,0.9, 20:31 ,0.4,75  tinggi 
39,9 Februari 2019, 10:24 ,0.8, 20:08 ,0.4,69  rata-rata 
40,10 Februari 2019, 9:48 ,0.8, 19:15 ,0.5,63  rata-rata 
41,11 Februari 2019, 8:32 ,0.7, 18:03 ,0.5,55  rata-rata 
42,12 Februari 2019, 7:15 ,0.8, 17:02 ,0.4,48  rendah 
43,13 Februari 2019, 6:50 ,0.8, 16:37 ,0.3,45  rendah 
