Tanggal,Jam Pasang,Tinggi Pasang,Jam Surut,Tinggi Surut,Koefisien
1 Januari 2020, 10:29 ,0.9, 23:38 ,0.3,48  rendah 
2 Januari 2020, 9:53 ,0.8, 23:42 ,0.4,43  rendah 
3 Januari 2020, 9:19 ,0.8, 23:28 ,0.4,42  rendah 
4 Januari 2020, 8:53 ,0.9, 22:17 ,0.4,43  rendah 
5 Januari 2020, 8:39 ,0.9, 18:06 ,0.4,48  rendah 
6 Januari 2020, 8:35 ,0.9, 17:59 ,0.3,56  rata-rata 
7 Januari 2020, 8:41 ,1.0, 18:14 ,0.3,65  rata-rata 
8 Januari 2020, 8:55 ,1.0, 18:39 ,0.2,74  tinggi 
9 Januari 2020, 9:15 ,1.1, 19:10 ,0.2,82  tinggi 
10 Januari 2020, 9:40 ,1.1, 19:47 ,0.2,88  tinggi 
11 Januari 2020, 10:08 ,1.1, 20:25 ,0.2,92  s. tinggi 
12 Januari 2020, 10:37 ,1.1, 21:02 ,0.2,92  s. tinggi 
13 Januari 2020, 11:05 ,1.1, 21:34 ,0.2,90  s. tinggi 
14 Januari 2020, 11:28 ,1.0, 21:58 ,0.3,84  tinggi 
15 Januari 2020, 11:32 ,0.9, 22:12 ,0.3,77  tinggi 
16 Januari 2020, 10:16 ,0.8, 22:13 ,0.4,68  rata-rata 
17 Januari 2020, 8:09 ,0.8, 21:52 ,0.4,61  rata-rata 
18 Januari 2020, 7:41 ,0.9, 18:00 ,0.4,57  rata-rata 
19 Januari 2020, 7:48 ,1.0, 17:15 ,0.3,56  rata-rata 
20 Januari 2020, 8:10 ,1.0, 17:30 ,0.2,60  rata-rata 
21 Januari 2020, 8:38 ,1.1, 17:58 ,0.2,66  rata-rata 
22 Januari 2020, 9:07 ,1.1, 18:30 ,0.2,72  tinggi 
23 Januari 2020, 9:36 ,1.1, 19:03 ,0.2,77  tinggi 
24 Januari 2020, 10:02 ,1.1, 19:38 ,0.2,81  tinggi 
25 Januari 2020, 10:23 ,1.0, 20:12 ,0.2,82  tinggi 
26 Januari 2020, 10:39 ,1.0, 20:44 ,0.3,80  tinggi 
27 Januari 2020, 10:47 ,1.0, 21:12 ,0.3,77  tinggi 
28 Januari 2020, 10:45 ,0.9, 21:33 ,0.3,72  tinggi 
29 Januari 2020, 10:31 ,0.9, 21:40 ,0.4,66  rata-rata 
30 Januari 2020, 10:01 ,0.8, 21:19 ,0.4,58  rata-rata 
31 Januari 2020, 9:14 ,0.8, 19:59 ,0.5,51  rata-rata 
1 Februari 2020, 8:26 ,0.8, 18:07 ,0.4,44  rendah 
2 Februari 2020, 7:52 ,0.8, 17:16 ,0.4,40  rendah 
3 Februari 2020, 7:41 ,0.9, 17:03 ,0.3,40  rendah 
4 Februari 2020, 7:46 ,0.9, 17:11 ,0.3,46  rendah 
5 Februari 2020, 8:04 ,1.0, 17:30 ,0.2,56  rata-rata 
6 Februari 2020, 8:28 ,1.0, 17:55 ,0.2,69  rata-rata 
7 Februari 2020, 8:58 ,1.1, 18:23 ,0.2,82  tinggi 
8 Februari 2020, 9:29 ,1.1, 18:53 ,0.2,93  s. tinggi 
9 Februari 2020, 10:02 ,1.1, 19:21 ,0.2,101  s. tinggi 
10 Februari 2020, 10:33 ,1.0, 19:44 ,0.3,105  s. tinggi 
11 Februari 2020, 11:01 ,1.0, 19:59 ,0.3,104  s. tinggi 
12 Februari 2020, 11:19 ,0.9, 20:03 ,0.4,97  s. tinggi 
13 Februari 2020, 10:53 ,0.7, 19:48 ,0.4,86  tinggi 
14 Februari 2020, 6:01 ,0.7, 18:41 ,0.5,72  tinggi 
15 Februari 2020, 5:52 ,0.8, 16:28 ,0.4,58  rata-rata 
16 Februari 2020, 6:23 ,0.9, 16:06 ,0.3,48  rendah 
17 Februari 2020, 7:02 ,1.0, 16:22 ,0.2,45  rendah 
18 Februari 2020, 7:42 ,1.0, 16:48 ,0.2,49  rendah 
19 Februari 2020, 8:20 ,1.0, 17:16 ,0.2,57  rata-rata 
20 Februari 2020, 8:55 ,1.0, 17:45 ,0.2,66  rata-rata 
21 Februari 2020, 9:25 ,1.0, 18:13 ,0.2,74  tinggi 
22 Februari 2020, 9:50 ,1.0, 18:38 ,0.3,80  tinggi 
23 Februari 2020, 10:09 ,0.9, 19:00 ,0.3,84  tinggi 
24 Februari 2020, 10:22 ,0.9, 19:15 ,0.4,85  tinggi 
25 Februari 2020, 10:27 ,0.8, 19:18 ,0.4,84  tinggi 
26 Februari 2020, 10:21 ,0.8, 19:02 ,0.5,80  tinggi 
27 Februari 2020, 10:00 ,0.7, 18:21 ,0.5,74  tinggi 
28 Februari 2020, 9:08 ,0.7, 17:22 ,0.5,66  rata-rata 
29 Februari 2020, 7:27 ,0.7, 16:27 ,0.5,57  rata-rata 
1 Maret 2020, 5:40 ,0.7, 15:56 ,0.4,48  rendah 
2 Maret 2020, 5:32 ,0.8, 15:49 ,0.3,40  rendah 
3 Maret 2020, 6:02 ,0.8, 15:57 ,0.3,36  rendah 
4 Maret 2020, 6:39 ,0.9, 16:14 ,0.2,41  rendah 
5 Maret 2020, 7:18 ,1.0, 16:36 ,0.2,53  rata-rata 
6 Maret 2020, 7:57 ,1.0, 16:59 ,0.2,69  rata-rata 
7 Maret 2020, 8:36 ,1.0, 17:23 ,0.2,85  tinggi 
8 Maret 2020, 9:15 ,1.0, 17:43 ,0.3,100  s. tinggi 
9 Maret 2020, 9:52 ,1.0, 17:58 ,0.3,110  s. tinggi 
10 Maret 2020, 0:26 ,0.6, 3:02 ,0.5,115  s. tinggi 
11 Maret 2020, 0:21 ,0.6, 4:32 ,0.5,112  s. tinggi 
12 Maret 2020, 0:38 ,0.7, 6:20 ,0.6,103  s. tinggi 
13 Maret 2020, 1:11 ,0.8, 16:12 ,0.5,88  tinggi 
14 Maret 2020, 2:00 ,0.8, 14:31 ,0.4,71  tinggi 
15 Maret 2020, 3:15 ,0.9, 14:33 ,0.3,54  rata-rata 
16 Maret 2020, 4:48 ,0.9, 14:57 ,0.2,41  rendah 
17 Maret 2020, 6:06 ,0.9, 15:26 ,0.2,38  rendah 
18 Maret 2020, 7:05 ,0.9, 15:54 ,0.2,43  rendah 
19 Maret 2020, 7:53 ,0.9, 16:21 ,0.2,53  rata-rata 
20 Maret 2020, 8:32 ,0.9, 16:45 ,0.3,63  rata-rata 
21 Maret 2020, 0:40 ,0.6, 1:55 ,0.5,72  tinggi 
22 Maret 2020, 0:27 ,0.6, 2:46 ,0.5,79  tinggi 
23 Maret 2020, 0:22 ,0.6, 3:25 ,0.5,84  tinggi 
24 Maret 2020, 0:15 ,0.6, 4:03 ,0.5,87  tinggi 
25 Maret 2020, 0:02 ,0.7, 4:45 ,0.6,86  tinggi 
26 Maret 2020, 5:39 ,0.6, 9:55 ,0.7,83  tinggi 
27 Maret 2020, 7:41 ,0.6, 8:19 ,0.7,78  tinggi 
28 Maret 2020, 14:28 ,0.4, 23:46 ,0.8,70  tinggi 
