,Tanggal,Jam Pasang,Tinggi Pasang,Jam Surut,Tinggi Surut,Koefisien
0,1 Februari 2020, 8:26 ,0.8, 18:07 ,0.4,44  rendah 
1,2 Februari 2020, 7:52 ,0.8, 17:16 ,0.4,40  rendah 
2,3 Februari 2020, 7:41 ,0.9, 17:03 ,0.3,40  rendah 
3,4 Februari 2020, 7:46 ,0.9, 17:11 ,0.3,46  rendah 
4,5 Februari 2020, 8:04 ,1.0, 17:30 ,0.2,56  rata-rata 
5,6 Februari 2020, 8:28 ,1.0, 17:55 ,0.2,69  rata-rata 
6,7 Februari 2020, 8:58 ,1.1, 18:23 ,0.2,82  tinggi 
7,8 Februari 2020, 9:29 ,1.1, 18:53 ,0.2,93  s. tinggi 
8,9 Februari 2020, 10:02 ,1.1, 19:21 ,0.2,101  s. tinggi 
9,10 Februari 2020, 10:33 ,1.0, 19:44 ,0.3,105  s. tinggi 
10,11 Februari 2020, 11:01 ,1.0, 19:59 ,0.3,104  s. tinggi 
11,12 Februari 2020, 11:19 ,0.9, 20:03 ,0.4,97  s. tinggi 
12,13 Februari 2020, 10:53 ,0.7, 19:48 ,0.4,86  tinggi 
13,14 Februari 2020, 6:01 ,0.7, 18:41 ,0.5,72  tinggi 
14,15 Februari 2020, 5:52 ,0.8, 16:28 ,0.4,58  rata-rata 
15,16 Februari 2020, 6:23 ,0.9, 16:06 ,0.3,48  rendah 
16,17 Februari 2020, 7:02 ,1.0, 16:22 ,0.2,45  rendah 
17,18 Februari 2020, 7:42 ,1.0, 16:48 ,0.2,49  rendah 
18,19 Februari 2020, 8:20 ,1.0, 17:16 ,0.2,57  rata-rata 
19,20 Februari 2020, 8:55 ,1.0, 17:45 ,0.2,66  rata-rata 
20,21 Februari 2020, 9:25 ,1.0, 18:13 ,0.2,74  tinggi 
21,22 Februari 2020, 9:50 ,1.0, 18:38 ,0.3,80  tinggi 
22,23 Februari 2020, 10:09 ,0.9, 19:00 ,0.3,84  tinggi 
23,24 Februari 2020, 10:22 ,0.9, 19:15 ,0.4,85  tinggi 
24,25 Februari 2020, 10:27 ,0.8, 19:18 ,0.4,84  tinggi 
25,26 Februari 2020, 10:21 ,0.8, 19:02 ,0.5,80  tinggi 
26,27 Februari 2020, 10:00 ,0.7, 18:21 ,0.5,74  tinggi 
27,28 Februari 2020, 9:08 ,0.7, 17:22 ,0.5,66  rata-rata 
28,29 Februari 2020, 7:27 ,0.7, 16:27 ,0.5,57  rata-rata 
