,Tanggal,Jam Pasang,Tinggi Pasang,Jam Surut,Tinggi Surut,Koefisien
0,1 Januari 2020, 10:29 ,0.9, 23:38 ,0.3,48  rendah 
1,2 Januari 2020, 9:53 ,0.8, 23:42 ,0.4,43  rendah 
2,3 Januari 2020, 9:19 ,0.8, 23:28 ,0.4,42  rendah 
3,4 Januari 2020, 8:53 ,0.9, 22:17 ,0.4,43  rendah 
4,5 Januari 2020, 8:39 ,0.9, 18:06 ,0.4,48  rendah 
5,6 Januari 2020, 8:35 ,0.9, 17:59 ,0.3,56  rata-rata 
6,7 Januari 2020, 8:41 ,1.0, 18:14 ,0.3,65  rata-rata 
7,8 Januari 2020, 8:55 ,1.0, 18:39 ,0.2,74  tinggi 
8,9 Januari 2020, 9:15 ,1.1, 19:10 ,0.2,82  tinggi 
9,10 Januari 2020, 9:40 ,1.1, 19:47 ,0.2,88  tinggi 
10,11 Januari 2020, 10:08 ,1.1, 20:25 ,0.2,92  s. tinggi 
11,12 Januari 2020, 10:37 ,1.1, 21:02 ,0.2,92  s. tinggi 
12,13 Januari 2020, 11:05 ,1.1, 21:34 ,0.2,90  s. tinggi 
13,14 Januari 2020, 11:28 ,1.0, 21:58 ,0.3,84  tinggi 
14,15 Januari 2020, 11:32 ,0.9, 22:12 ,0.3,77  tinggi 
15,16 Januari 2020, 10:16 ,0.8, 22:13 ,0.4,68  rata-rata 
16,17 Januari 2020, 8:09 ,0.8, 21:52 ,0.4,61  rata-rata 
17,18 Januari 2020, 7:41 ,0.9, 18:00 ,0.4,57  rata-rata 
18,19 Januari 2020, 7:48 ,1.0, 17:15 ,0.3,56  rata-rata 
19,20 Januari 2020, 8:10 ,1.0, 17:30 ,0.2,60  rata-rata 
20,21 Januari 2020, 8:38 ,1.1, 17:58 ,0.2,66  rata-rata 
21,22 Januari 2020, 9:07 ,1.1, 18:30 ,0.2,72  tinggi 
22,23 Januari 2020, 9:36 ,1.1, 19:03 ,0.2,77  tinggi 
23,24 Januari 2020, 10:02 ,1.1, 19:38 ,0.2,81  tinggi 
24,25 Januari 2020, 10:23 ,1.0, 20:12 ,0.2,82  tinggi 
25,26 Januari 2020, 10:39 ,1.0, 20:44 ,0.3,80  tinggi 
26,27 Januari 2020, 10:47 ,1.0, 21:12 ,0.3,77  tinggi 
27,28 Januari 2020, 10:45 ,0.9, 21:33 ,0.3,72  tinggi 
28,29 Januari 2020, 10:31 ,0.9, 21:40 ,0.4,66  rata-rata 
29,30 Januari 2020, 10:01 ,0.8, 21:19 ,0.4,58  rata-rata 
30,31 Januari 2020, 9:14 ,0.8, 19:59 ,0.5,51  rata-rata 
